Text,People,Organizations,Locations,Date,Event,Domain,clean_text,processed_text
"Frida Kahlo premiered a symphony at Madrid, Spain.",Frida Kahlo; Ludwig van Beethoven,Tate Modern; Royal Academy,"Madrid, Spain",1528-05-19,symphony,Arts,frida kahlo premiered a symphony at madrid spain,frida kahlo premiered symphony madrid spain
"A famous painting by Vincent van Gogh is housed in Louvre Museum in Madrid, Spain.",Vincent van Gogh,Louvre Museum; Sydney Opera House,"Madrid, Spain",1668-11-23,painting,Arts,a famous painting by vincent van gogh is housed in louvre museum in madrid spain,famous painting vincent van gogh housed louvre museum madrid spain
"Farmers in Punjab, India adopted irrigation technique adoption developed by AgriTech Ltd.",Norman Borlaug,AgriTech Ltd,"Punjab, India",1766-06-22,irrigation technique adoption,Agriculture,farmers in punjab india adopted irrigation technique adoption developed by agritech ltd,farmer punjab india adopted irrigation technique adoption developed agritech ltd
A breakthrough in edge computing was reported by Apple.,Sundar Pichai,Apple,"Stockholm, Sweden",1639-08-11,AI-driven sensors,Technology,a breakthrough in edge computing was reported by apple,breakthrough edge computing reported apple
A study by Wangari Maathai showed benefits of irrigation technique adoption for maize.,Wangari Maathai,CIMMYT,"Punjab, India",1702-12-30,irrigation technique adoption,Agriculture,a study by wangari maathai showed benefits of irrigation technique adoption for maize,study wangari maathai showed benefit irrigation technique adoption maize
"The expedition took place in Rome, Italy and involved Mughal Empire.",Mahatma Gandhi,Mughal Empire,"Rome, Italy",1646-09-15,expedition,History,the expedition took place in rome italy and involved mughal empire,expedition took place rome italy involved mughal empire
A study by Wangari Maathai showed benefits of irrigation technique adoption for wheat.,Wangari Maathai,CIMMYT,"Nairobi, Kenya",1823-02-26,irrigation technique adoption,Agriculture,a study by wangari maathai showed benefits of irrigation technique adoption for wheat,study wangari maathai showed benefit irrigation technique adoption wheat
Indra Nooyi became CEO of Reliance Industries following the restructuring.,Indra Nooyi; Jamie Dimon,Reliance Industries,"Frankfurt, Germany",1979-03-19,restructuring,Business,indra nooyi became ceo of reliance industries following the restructuring,indra nooyi became ceo reliance industry following restructuring
"Norman Borlaug led trials of pest control trial in Nairobi, Kenya.",Norman Borlaug,CIMMYT,"Nairobi, Kenya",1769-02-15,pest control trial,Agriculture,norman borlaug led trials of pest control trial in nairobi kenya,norman borlaug led trial pest control trial nairobi kenya
"Angela Merkel met leaders from United Nations in Washington, USA to discuss summit.",Angela Merkel; Narendra Modi,United Nations,"Washington, USA",1527-10-08,summit,Politics,angela merkel met leaders from united nations in washington usa to discuss summit,angela merkel met leader united nation washington usa discus summit
"Records show coronation happened in Berlin, Germany around 1987-01-02.",Nelson Mandela,Roman Senate; British Empire,"Berlin, Germany",1987-01-02,coronation,History,records show coronation happened in berlin germany around,record show coronation happened berlin germany around
"Serena Williams led Team India to victory at the final match in Melbourne, Australia.",Serena Williams,Team India,"Melbourne, Australia",1892-12-24,final match,Sports,serena williams led team india to victory at the final match in melbourne australia,serena williams led team india victory final match melbourne australia
"The uprising marked a turning point in Berlin, Germany's history.",Cleopatra,Ottoman Empire,"Berlin, Germany",1531-09-22,uprising,History,the uprising marked a turning point in berlin germanys history,uprising marked turning point berlin germany history
A study by Wangari Maathai showed benefits of irrigation technique adoption for soybeans.,Wangari Maathai,CIMMYT,"Lima, Peru",1588-12-23,irrigation technique adoption,Agriculture,a study by wangari maathai showed benefits of irrigation technique adoption for soybeans,study wangari maathai showed benefit irrigation technique adoption soybean
Albert Einstein published findings on field research at CERN.,Albert Einstein,CERN,"Cape Town, South Africa",1999-06-08,field research,Science,albert einstein published findings on field research at cern,albert einstein published finding field research cern
"The final match in London, UK featured Lionel Messi and Team India.",Lionel Messi,Team India,"London, UK",1915-04-06,final match,Sports,the final match in london uk featured lionel messi and team india,final match london uk featured lionel messi team india
Cleopatra was a key figure in the uprising.,Cleopatra,British Empire,"Versailles, France",1960-04-15,uprising,History,cleopatra was a key figure in the uprising,cleopatra key figure uprising
"The tournament in London, UK featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"London, UK",1642-04-01,tournament,Sports,the tournament in london uk featured ms dhoni and fc barcelona,tournament london uk featured m dhoni fc barcelona
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1902-06-25,summit,Politics,narendra modi announced policy changes regarding climate at new delhi india,narendra modi announced policy change regarding climate new delhi india
"Narendra Modi met leaders from Parliament in Geneva, Switzerland to discuss bill passage.",Narendra Modi,Parliament,"Geneva, Switzerland",1824-11-01,bill passage,Politics,narendra modi met leaders from parliament in geneva switzerland to discuss bill passage,narendra modi met leader parliament geneva switzerland discus bill passage
"FAO introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",Norman Borlaug,FAO,"Nairobi, Kenya",1861-08-01,irrigation technique adoption,Agriculture,fao introduced a irrigation technique adoption to improve yields in nairobi kenya,fao introduced irrigation technique adoption improve yield nairobi kenya
A study on field research led by Marie Curie was published on 1902-12-07.,Marie Curie,Max Planck Institute,"Cambridge, UK",1902-12-07,field research,Science,a study on field research led by marie curie was published on,study field research led marie curie published
Beyoncé exhibited a new installation at Metropolitan Opera.,Beyoncé; Leonardo da Vinci,Metropolitan Opera,"New York, USA",1798-01-06,installation,Arts,beyoncé exhibited a new installation at metropolitan opera,beyoncé exhibited new installation metropolitan opera
A study by M. S. Swaminathan showed benefits of pest control trial for maize.,M. S. Swaminathan,FAO,"Nairobi, Kenya",1735-08-04,pest control trial,Agriculture,a study by m s swaminathan showed benefits of pest control trial for maize,study swaminathan showed benefit pest control trial maize
"Lionel Messi led Wimbledon to victory at the season opener in Melbourne, Australia.",Lionel Messi,Wimbledon; FC Barcelona,"Melbourne, Australia",1587-02-25,season opener,Sports,lionel messi led wimbledon to victory at the season opener in melbourne australia,lionel messi led wimbledon victory season opener melbourne australia
IPO led to restructuring at Tesla.,Mary Barra,Tesla,"Seoul, South Korea",1942-09-27,IPO,Business,ipo led to restructuring at tesla,ipo led restructuring tesla
"Barack Obama announced policy changes regarding trade at Geneva, Switzerland.",Barack Obama,European Union,"Geneva, Switzerland",1554-04-26,summit,Politics,barack obama announced policy changes regarding trade at geneva switzerland,barack obama announced policy change regarding trade geneva switzerland
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Marie Curie,Harvard University,"Geneva, Switzerland",1779-05-09,particle discovery,Science,researchers at harvard university reported a particle discovery in geneva switzerland,researcher harvard university reported particle discovery geneva switzerland
"Reliance Industries opened a new office in Mumbai, India to expand financial services.",Mary Barra,Reliance Industries,"Mumbai, India",1628-03-23,restructuring,Business,reliance industries opened a new office in mumbai india to expand financial services,reliance industry opened new office mumbai india expand financial service
Google released a AI-driven sensors that improves edge computing.,Grace Hopper,Google,"London, UK",1723-08-24,AI-driven sensors,Technology,google released a aidriven sensors that improves edge computing,google released aidriven sensor improves edge computing
Jane Goodall published findings on gene sequencing at Max Planck Institute.,Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1542-05-14,gene sequencing,Science,jane goodall published findings on gene sequencing at max planck institute,jane goodall published finding gene sequencing max planck institute
"A famous installation by Leonardo da Vinci is housed in Tate Modern in New York, USA.",Leonardo da Vinci,Tate Modern; Metropolitan Opera,"New York, USA",2013-07-27,installation,Arts,a famous installation by leonardo da vinci is housed in tate modern in new york usa,famous installation leonardo da vinci housed tate modern new york usa
"Farmers in Iowa, USA adopted pest control trial developed by CIMMYT.",M. S. Swaminathan,CIMMYT,"Iowa, USA",1829-08-24,pest control trial,Agriculture,farmers in iowa usa adopted pest control trial developed by cimmyt,farmer iowa usa adopted pest control trial developed cimmyt
"A famous exhibition by Frida Kahlo is housed in Tate Modern in Vienna, Austria.",Frida Kahlo,Tate Modern,"Vienna, Austria",1515-09-06,exhibition,Arts,a famous exhibition by frida kahlo is housed in tate modern in vienna austria,famous exhibition frida kahlo housed tate modern vienna austria
Cleopatra was a key figure in the battle.,Cleopatra,Roman Senate; Mughal Empire,"Rome, Italy",1835-02-12,battle,History,cleopatra was a key figure in the battle,cleopatra key figure battle
"The tournament in Melbourne, Australia featured Lionel Messi and Team India.",Lionel Messi; Cristiano Ronaldo,Team India,"Melbourne, Australia",1987-09-09,tournament,Sports,the tournament in melbourne australia featured lionel messi and team india,tournament melbourne australia featured lionel messi team india
A study by George Washington Carver showed benefits of irrigation technique adoption for soybeans.,George Washington Carver,CIMMYT,"Punjab, India",1766-05-15,irrigation technique adoption,Agriculture,a study by george washington carver showed benefits of irrigation technique adoption for soybeans,study george washington carver showed benefit irrigation technique adoption soybean
"Louvre Museum announced restoration of the opera in Vienna, Austria.",Beyoncé,Louvre Museum,"Vienna, Austria",1856-12-20,opera,Arts,louvre museum announced restoration of the opera in vienna austria,louvre museum announced restoration opera vienna austria
"Royal Academy announced restoration of the painting in Madrid, Spain.",Beyoncé,Royal Academy,"Madrid, Spain",1972-01-16,painting,Arts,royal academy announced restoration of the painting in madrid spain,royal academy announced restoration painting madrid spain
A breakthrough in robotics was reported by Microsoft.,Sundar Pichai; Elon Musk,Microsoft,"Bengaluru, India",1942-12-12,robotics,Technology,a breakthrough in robotics was reported by microsoft,breakthrough robotics reported microsoft
Jane Goodall published findings on particle discovery at NASA.,Jane Goodall,NASA,"Geneva, Switzerland",1706-12-08,particle discovery,Science,jane goodall published findings on particle discovery at nasa,jane goodall published finding particle discovery nasa
Wimbledon announced a new season opener for 2023-2024.,Serena Williams,Wimbledon,"London, UK",1797-03-21,season opener,Sports,wimbledon announced a new season opener for,wimbledon announced new season opener
"Siemens opened a new office in Mumbai, India to expand consumer electronics.",Indra Nooyi,Siemens,"Mumbai, India",1606-06-19,IPO,Business,siemens opened a new office in mumbai india to expand consumer electronics,siemens opened new office mumbai india expand consumer electronics
"Reliance Industries opened a new office in New York, USA to expand consumer electronics.",Indra Nooyi; Tim Cook,Reliance Industries,"New York, USA",1693-07-13,restructuring,Business,reliance industries opened a new office in new york usa to expand consumer electronics,reliance industry opened new office new york usa expand consumer electronics
"A policy announcement was passed by United Nations impacting Washington, USA.",Narendra Modi,United Nations,"Washington, USA",1882-07-23,policy announcement,Politics,a policy announcement was passed by united nations impacting washington usa,policy announcement passed united nation impacting washington usa
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Rosalind Franklin,Max Planck Institute,"Geneva, Switzerland",1800-10-16,field research,Science,researchers at max planck institute reported a field research in geneva switzerland,researcher max planck institute reported field research geneva switzerland
"Records show uprising happened in Delhi, India around 1923-05-02.",Cleopatra,Roman Senate,"Delhi, India",1923-05-02,uprising,History,records show uprising happened in delhi india around,record show uprising happened delhi india around
Sundar Pichai became CEO of Tesla following the restructuring.,Sundar Pichai,Tesla,"Frankfurt, Germany",1681-11-23,restructuring,Business,sundar pichai became ceo of tesla following the restructuring,sundar pichai became ceo tesla following restructuring
OpenAI released a edge computing that improves AI-driven sensors.,Tim Berners-Lee,OpenAI,"Stockholm, Sweden",1878-10-08,edge computing,Technology,openai released a edge computing that improves aidriven sensors,openai released edge computing improves aidriven sensor
"Cristiano Ronaldo led Wimbledon to victory at the final match in Melbourne, Australia.",Cristiano Ronaldo,Wimbledon,"Melbourne, Australia",1994-01-10,final match,Sports,cristiano ronaldo led wimbledon to victory at the final match in melbourne australia,cristiano ronaldo led wimbledon victory final match melbourne australia
A breakthrough in edge computing was reported by OpenAI.,Tim Berners-Lee,OpenAI,"Shenzhen, China",2018-12-03,edge computing,Technology,a breakthrough in edge computing was reported by openai,breakthrough edge computing reported openai
Max Planck Institute announced a field research that impacts genetics.,Marie Curie,Max Planck Institute,"Geneva, Switzerland",1904-10-21,field research,Science,max planck institute announced a field research that impacts genetics,max planck institute announced field research impact genetics
"Lionel Messi led NBA to victory at the tournament in London, UK.",Lionel Messi,NBA,"London, UK",1807-04-21,tournament,Sports,lionel messi led nba to victory at the tournament in london uk,lionel messi led nba victory tournament london uk
"Ludwig van Beethoven premiered a symphony at Vienna, Austria.",Ludwig van Beethoven,Tate Modern,"Vienna, Austria",1520-05-07,symphony,Arts,ludwig van beethoven premiered a symphony at vienna austria,ludwig van beethoven premiered symphony vienna austria
"Frida Kahlo premiered a symphony at Vienna, Austria.",Frida Kahlo; Ludwig van Beethoven,Louvre Museum,"Vienna, Austria",1983-10-26,symphony,Arts,frida kahlo premiered a symphony at vienna austria,frida kahlo premiered symphony vienna austria
"A famous exhibition by Beyoncé is housed in Louvre Museum in Paris, France.",Beyoncé,Louvre Museum,"Paris, France",1996-05-10,exhibition,Arts,a famous exhibition by beyoncé is housed in louvre museum in paris france,famous exhibition beyoncé housed louvre museum paris france
Wimbledon announced a new final match for 2022-2023.,Lionel Messi,Wimbledon,"Melbourne, Australia",1843-04-06,final match,Sports,wimbledon announced a new final match for,wimbledon announced new final match
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",George Washington Carver,AgriTech Ltd,"Punjab, India",1822-10-22,irrigation technique adoption,Agriculture,agritech ltd introduced a irrigation technique adoption to improve yields in punjab india,agritech ltd introduced irrigation technique adoption improve yield punjab india
A breakthrough in 5G networks was reported by Google.,Sundar Pichai,Google,"Shenzhen, China",1547-11-05,AI-driven sensors,Technology,a breakthrough in g networks was reported by google,breakthrough g network reported google
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Rachel Carson,International Rice Research Institute,"Punjab, India",1638-02-23,yield improvement study,Agriculture,international rice research institute introduced a yield improvement study to improve yields in punjab india,international rice research institute introduced yield improvement study improve yield punjab india
"A summit was passed by Congress impacting Washington, USA.",Narendra Modi,Congress,"Washington, USA",1603-10-07,summit,Politics,a summit was passed by congress impacting washington usa,summit passed congress impacting washington usa
Apple released a robotics that improves AI-driven sensors.,Ada Lovelace,Apple,"Silicon Valley, USA",1855-11-14,robotics,Technology,apple released a robotics that improves aidriven sensors,apple released robotics improves aidriven sensor
"Norman Borlaug led trials of yield improvement study in Nairobi, Kenya.",Norman Borlaug,ICAR,"Nairobi, Kenya",1579-07-07,yield improvement study,Agriculture,norman borlaug led trials of yield improvement study in nairobi kenya,norman borlaug led trial yield improvement study nairobi kenya
"Frida Kahlo premiered a painting at Vienna, Austria.",Frida Kahlo,Metropolitan Opera,"Vienna, Austria",2004-05-08,painting,Arts,frida kahlo premiered a painting at vienna austria,frida kahlo premiered painting vienna austria
A study by M. S. Swaminathan showed benefits of yield improvement study for rice.,M. S. Swaminathan,ICAR,"Lima, Peru",1640-01-28,yield improvement study,Agriculture,a study by m s swaminathan showed benefits of yield improvement study for rice,study swaminathan showed benefit yield improvement study rice
A study by M. S. Swaminathan showed benefits of irrigation technique adoption for wheat.,M. S. Swaminathan,ICAR,"Iowa, USA",1629-03-12,irrigation technique adoption,Agriculture,a study by m s swaminathan showed benefits of irrigation technique adoption for wheat,study swaminathan showed benefit irrigation technique adoption wheat
"The uprising marked a turning point in Rome, Italy's history.",Nelson Mandela,British Empire,"Rome, Italy",2012-07-29,uprising,History,the uprising marked a turning point in rome italys history,uprising marked turning point rome italy history
"M.S. Dhoni led NBA to victory at the final match in London, UK.",M.S. Dhoni,NBA,"London, UK",1810-02-21,final match,Sports,ms dhoni led nba to victory at the final match in london uk,m dhoni led nba victory final match london uk
"Ludwig van Beethoven premiered a exhibition at New York, USA.",Ludwig van Beethoven,Royal Academy,"New York, USA",1714-10-07,exhibition,Arts,ludwig van beethoven premiered a exhibition at new york usa,ludwig van beethoven premiered exhibition new york usa
A breakthrough in 5G networks was reported by SpaceX.,Sundar Pichai,SpaceX,"Stockholm, Sweden",1521-02-17,5G networks,Technology,a breakthrough in g networks was reported by spacex,breakthrough g network reported spacex
A study on field research led by Rosalind Franklin was published on 1733-08-03.,Rosalind Franklin,CERN; NASA,"Cambridge, UK",1733-08-03,field research,Science,a study on field research led by rosalind franklin was published on,study field research led rosalind franklin published
"Elon Musk led the launch of a quantum computing in Bengaluru, India.",Elon Musk; Grace Hopper,Google,"Bengaluru, India",1712-01-20,quantum computing,Technology,elon musk led the launch of a quantum computing in bengaluru india,elon musk led launch quantum computing bengaluru india
"Kamala Harris met leaders from United Nations in Geneva, Switzerland to discuss summit.",Kamala Harris,United Nations,"Geneva, Switzerland",1595-10-23,summit,Politics,kamala harris met leaders from united nations in geneva switzerland to discuss summit,kamala harris met leader united nation geneva switzerland discus summit
Pablo Picasso exhibited a new exhibition at Royal Academy.,Pablo Picasso,Royal Academy,"New York, USA",1595-11-23,exhibition,Arts,pablo picasso exhibited a new exhibition at royal academy,pablo picasso exhibited new exhibition royal academy
"Rachel Carson led trials of yield improvement study in Punjab, India.",Rachel Carson; George Washington Carver,ICAR,"Punjab, India",1968-04-07,yield improvement study,Agriculture,rachel carson led trials of yield improvement study in punjab india,rachel carson led trial yield improvement study punjab india
"A famous symphony by Vincent van Gogh is housed in Royal Academy in Paris, France.",Vincent van Gogh,Royal Academy,"Paris, France",2002-03-13,symphony,Arts,a famous symphony by vincent van gogh is housed in royal academy in paris france,famous symphony vincent van gogh housed royal academy paris france
Wimbledon announced a new season opener for 2023-2024.,Lionel Messi,Wimbledon,"Madrid, Spain",1654-01-31,season opener,Sports,wimbledon announced a new season opener for,wimbledon announced new season opener
Max Planck Institute announced a gene sequencing that impacts physics.,Isaac Newton,Max Planck Institute,"Geneva, Switzerland",1915-09-04,gene sequencing,Science,max planck institute announced a gene sequencing that impacts physics,max planck institute announced gene sequencing impact physic
"Louvre Museum announced restoration of the symphony in New York, USA.",Ludwig van Beethoven,Louvre Museum,"New York, USA",1895-06-15,symphony,Arts,louvre museum announced restoration of the symphony in new york usa,louvre museum announced restoration symphony new york usa
"M. S. Swaminathan led trials of yield improvement study in Lima, Peru.",M. S. Swaminathan,FAO,"Lima, Peru",1862-03-20,yield improvement study,Agriculture,m s swaminathan led trials of yield improvement study in lima peru,swaminathan led trial yield improvement study lima peru
Marie Curie published findings on particle discovery at Harvard University.,Marie Curie,Harvard University; CERN,"Geneva, Switzerland",1616-02-09,particle discovery,Science,marie curie published findings on particle discovery at harvard university,marie curie published finding particle discovery harvard university
"Kamala Harris met leaders from Congress in New Delhi, India to discuss bill passage.",Kamala Harris; Narendra Modi,Congress,"New Delhi, India",1882-12-04,bill passage,Politics,kamala harris met leaders from congress in new delhi india to discuss bill passage,kamala harris met leader congress new delhi india discus bill passage
"Tesla opened a new office in Seoul, South Korea to expand consumer electronics.",Jamie Dimon; Tim Cook,Tesla,"Seoul, South Korea",1876-01-19,merger,Business,tesla opened a new office in seoul south korea to expand consumer electronics,tesla opened new office seoul south korea expand consumer electronics
"Beyoncé premiered a painting at Madrid, Spain.",Beyoncé,Sydney Opera House,"Madrid, Spain",1756-12-06,painting,Arts,beyoncé premiered a painting at madrid spain,beyoncé premiered painting madrid spain
"A famous exhibition by Vincent van Gogh is housed in Louvre Museum in New York, USA.",Vincent van Gogh,Louvre Museum,"New York, USA",1720-05-12,exhibition,Arts,a famous exhibition by vincent van gogh is housed in louvre museum in new york usa,famous exhibition vincent van gogh housed louvre museum new york usa
"The Treaty signing took place in Berlin, Germany and involved British Empire.",Cleopatra,British Empire,"Berlin, Germany",1766-07-30,Treaty signing,History,the treaty signing took place in berlin germany and involved british empire,treaty signing took place berlin germany involved british empire
Pablo Picasso exhibited a new opera at Louvre Museum.,Pablo Picasso,Louvre Museum,"New York, USA",1651-02-09,opera,Arts,pablo picasso exhibited a new opera at louvre museum,pablo picasso exhibited new opera louvre museum
"The battle marked a turning point in Constantinople, Turkey's history.",Cleopatra,British Empire,"Constantinople, Turkey",1948-03-29,battle,History,the battle marked a turning point in constantinople turkeys history,battle marked turning point constantinople turkey history
NBA announced a new season opener for 2022-2023.,Serena Williams,NBA,"Madrid, Spain",1534-07-31,season opener,Sports,nba announced a new season opener for,nba announced new season opener
"Records show coronation happened in Delhi, India around 1674-10-24.",Winston Churchill,Roman Senate,"Delhi, India",1674-10-24,coronation,History,records show coronation happened in delhi india around,record show coronation happened delhi india around
FC Barcelona announced a new tournament for 2024-2025.,Cristiano Ronaldo,FC Barcelona,"Melbourne, Australia",1645-03-13,tournament,Sports,fc barcelona announced a new tournament for,fc barcelona announced new tournament
A study on climate study led by Marie Curie was published on 1575-11-05.,Marie Curie; Rosalind Franklin,CERN,"Cambridge, UK",1575-11-05,climate study,Science,a study on climate study led by marie curie was published on,study climate study led marie curie published
Frida Kahlo exhibited a new exhibition at Louvre Museum.,Frida Kahlo; Leonardo da Vinci,Louvre Museum,"Madrid, Spain",1931-09-03,exhibition,Arts,frida kahlo exhibited a new exhibition at louvre museum,frida kahlo exhibited new exhibition louvre museum
Team India announced a new tournament for 2023-2024.,Serena Williams,Team India,"Melbourne, Australia",1615-03-18,tournament,Sports,team india announced a new tournament for,team india announced new tournament
Marie Curie published findings on climate study at CERN.,Marie Curie,CERN,"Cape Town, South Africa",1706-05-03,climate study,Science,marie curie published findings on climate study at cern,marie curie published finding climate study cern
"The final match in Madrid, Spain featured Lionel Messi and Wimbledon.",Lionel Messi,Wimbledon,"Madrid, Spain",1669-07-24,final match,Sports,the final match in madrid spain featured lionel messi and wimbledon,final match madrid spain featured lionel messi wimbledon
"Records show expedition happened in Berlin, Germany around 1511-04-02.",Julius Caesar,Mughal Empire,"Berlin, Germany",1511-04-02,expedition,History,records show expedition happened in berlin germany around,record show expedition happened berlin germany around
"Lionel Messi led NBA to victory at the final match in Madrid, Spain.",Lionel Messi,NBA,"Madrid, Spain",1972-08-14,final match,Sports,lionel messi led nba to victory at the final match in madrid spain,lionel messi led nba victory final match madrid spain
"Researchers at Max Planck Institute reported a particle discovery in Cape Town, South Africa.",Jane Goodall,Max Planck Institute; Harvard University,"Cape Town, South Africa",1923-03-10,particle discovery,Science,researchers at max planck institute reported a particle discovery in cape town south africa,researcher max planck institute reported particle discovery cape town south africa
Harvard University announced a particle discovery that impacts physics.,Marie Curie,Harvard University,"Cambridge, UK",1580-10-22,particle discovery,Science,harvard university announced a particle discovery that impacts physics,harvard university announced particle discovery impact physic
Tesla acquired Samsung in a deal valued at $15M.,Indra Nooyi,Tesla,"Seoul, South Korea",1593-02-27,acquisition,Business,tesla acquired samsung in a deal valued at m,tesla acquired samsung deal valued
A study on climate study led by Rosalind Franklin was published on 1619-08-15.,Rosalind Franklin,CERN,"Cambridge, UK",1619-08-15,climate study,Science,a study on climate study led by rosalind franklin was published on,study climate study led rosalind franklin published
"Sundar Pichai led the launch of a quantum computing in Shenzhen, China.",Sundar Pichai,SpaceX; OpenAI,"Shenzhen, China",1684-06-20,quantum computing,Technology,sundar pichai led the launch of a quantum computing in shenzhen china,sundar pichai led launch quantum computing shenzhen china
"The expedition took place in Constantinople, Turkey and involved British Empire.",Nelson Mandela,British Empire,"Constantinople, Turkey",1682-06-29,expedition,History,the expedition took place in constantinople turkey and involved british empire,expedition took place constantinople turkey involved british empire
SpaceX released a quantum computing that improves AI-driven sensors.,Marissa Mayer; Satya Nadella,SpaceX,"London, UK",1629-10-07,quantum computing,Technology,spacex released a quantum computing that improves aidriven sensors,spacex released quantum computing improves aidriven sensor
"Barack Obama announced policy changes regarding education at Washington, USA.",Barack Obama,Congress,"Washington, USA",1973-10-20,policy announcement,Politics,barack obama announced policy changes regarding education at washington usa,barack obama announced policy change regarding education washington usa
Mahatma Gandhi was a key figure in the Treaty signing.,Mahatma Gandhi,Allied Powers,"Rome, Italy",1946-02-15,Treaty signing,History,mahatma gandhi was a key figure in the treaty signing,mahatma gandhi key figure treaty signing
"The tournament in Melbourne, Australia featured Cristiano Ronaldo and Wimbledon.",Cristiano Ronaldo,Wimbledon,"Melbourne, Australia",1745-09-08,tournament,Sports,the tournament in melbourne australia featured cristiano ronaldo and wimbledon,tournament melbourne australia featured cristiano ronaldo wimbledon
A study on field research led by Jane Goodall was published on 2006-12-09.,Jane Goodall,CERN,"Cambridge, UK",2006-12-09,field research,Science,a study on field research led by jane goodall was published on,study field research led jane goodall published
"Researchers at NASA reported a field research in Cambridge, UK.",Jane Goodall,NASA; CERN,"Cambridge, UK",1509-03-08,field research,Science,researchers at nasa reported a field research in cambridge uk,researcher nasa reported field research cambridge uk
Indra Nooyi became CEO of Samsung following the acquisition.,Indra Nooyi,Samsung,"Mumbai, India",1644-04-01,acquisition,Business,indra nooyi became ceo of samsung following the acquisition,indra nooyi became ceo samsung following acquisition
Reliance Industries acquired Siemens in a deal valued at $1.2B.,Indra Nooyi,Reliance Industries; Siemens,"New York, USA",1715-08-14,acquisition,Business,reliance industries acquired siemens in a deal valued at b,reliance industry acquired siemens deal valued b
"Kamala Harris met leaders from Parliament in New Delhi, India to discuss policy announcement.",Kamala Harris,Parliament,"New Delhi, India",1628-03-28,policy announcement,Politics,kamala harris met leaders from parliament in new delhi india to discuss policy announcement,kamala harris met leader parliament new delhi india discus policy announcement
Goldman Sachs acquired Reliance Industries in a deal valued at $450M.,Indra Nooyi,Goldman Sachs,"New York, USA",1937-01-01,acquisition,Business,goldman sachs acquired reliance industries in a deal valued at m,goldman sachs acquired reliance industry deal valued
